date,     is_holiday, role,     description, 
19980101, true,       all,      元旦,        
19980102, false,      all,      工作日,
19980103, false,      all,      工作日,
19980104, true,       all,      週日,
19980105, false,      all,      工作日,
19980106, false,      all,      工作日,
19980107, false,      all,      工作日,
19980108, false,      all,      工作日,
19980109, false,      all,      工作日,
19980110, true,       all,      週六,
19980111, true,       all,      週日,
19980112, false,      all,      工作日,
19980113, false,      all,      工作日,
19980114, false,      all,      工作日,
19980115, false,      all,      工作日,
19980116, false,      all,      工作日,
19980117, false,      all,      工作日,
19980118, true,       all,      週日,
19980119, false,      all,      工作日,
19980120, false,      all,      工作日,
19980121, false,      all,      工作日,
19980122, false,      all,      工作日,
19980123, false,      all,      工作日,
19980124, true,       all,      週六,
19980125, true,       all,      週日,
19980126, false,      all,      工作日,
19980127, true,       all,      除夕,
19980128, true,       all,      春節,
19980129, true,       all,      春節,
19980130, true,       all,      春節,
19980131, true,       all,      週六,
19980201, true,       all,      週日,
19980202, false,      all,      工作日,
19980203, false,      all,      工作日,
19980204, false,      all,      工作日,
19980205, false,      all,      工作日,
19980206, false,      all,      工作日,
19980207, false,      all,      工作日,
19980208, true,       all,      週日,
19980209, false,      all,      工作日,
19980210, false,      all,      工作日,
19980211, false,      all,      工作日,
19980212, false,      all,      工作日,
19980213, false,      all,      工作日,
19980214, true,       all,      週六,
19980215, true,       all,      週日,
19980216, false,      all,      工作日,
19980217, false,      all,      工作日,
19980218, false,      all,      工作日,
19980219, false,      all,      工作日,
19980220, false,      all,      工作日,
19980221, false,      all,      工作日,
19980222, true,       all,      週日,
19980223, false,      all,      工作日,
19980224, false,      all,      工作日,
19980225, false,      all,      工作日,
19980226, false,      all,      工作日,
19980227, false,      all,      工作日,
19980228, true,       all,      和平紀念日,
19980301, true,       all,      週日,
19980302, false,      all,      工作日,
19980303, false,      all,      工作日,
19980304, false,      all,      工作日,
19980305, false,      all,      工作日,
19980306, false,      all,      工作日,
19980307, false,      all,      工作日,
19980308, true,       all,      週日,
19980309, false,      all,      工作日,
19980310, false,      all,      工作日,
19980311, false,      all,      工作日,
19980312, false,      all,      工作日,
19980313, false,      all,      工作日,
19980314, true,       all,      週六,
19980315, true,       all,      週日,
19980316, false,      all,      工作日,
19980317, false,      all,      工作日,
19980318, false,      all,      工作日,
19980319, false,      all,      工作日,
19980320, false,      all,      工作日,
19980321, false,      all,      工作日,
19980322, true,       all,      週日,
19980323, false,      all,      工作日,
19980324, false,      all,      工作日,
19980325, false,      all,      工作日,
19980326, false,      all,      工作日,
19980327, false,      all,      工作日,
19980328, true,       all,      週六,
19980329, true,       all,      青年節,
19980330, false,      all,      工作日,
19980331, false,      all,      工作日,
19980401, false,      all,      工作日,
19980402, false,      all,      工作日,
19980403, false,      all,      工作日,
19980404, false,      all,      婦幼節,
19980405, true,       all,      週日(民族掃墓節),
19980406, true,       all,      民族掃墓節補假,
19980407, false,      all,      工作日,
19980408, false,      all,      工作日,
19980409, false,      all,      工作日,
19980410, false,      all,      工作日,
19980411, true,       all,      週六,
19980412, true,       all,      週日,
19980413, false,      all,      工作日,
19980414, false,      all,      工作日,
19980415, false,      all,      工作日,
19980416, false,      all,      工作日,
19980417, false,      all,      工作日,
19980418, false,      all,      工作日,
19980419, true,       all,      週日,
19980420, false,      all,      工作日,
19980421, false,      all,      工作日,
19980422, false,      all,      工作日,
19980423, false,      all,      工作日,
19980424, false,      all,      工作日,
19980425, true,       all,      週六,
19980426, true,       all,      週日,
19980427, false,      all,      工作日,
19980428, false,      all,      工作日, 
19980429, false,      all,      工作日,
19980430, false,      all,      工作日,
19980501, true,       labor,    勞動節,
19980502, false,      all,      工作日,
19980503, true,       all,      週日,
19980504, false,      all,      工作日,
19980505, false,      all,      工作日,
19980506, false,      all,      工作日,
19980507, false,      all,      工作日,
19980508, false,      all,      工作日,
19980509, true,       all,      週六,
19980510, true,       all,      週日,
19980511, false,      all,      工作日,
19980512, false,      all,      工作日, 
19980513, false,      all,      工作日,
19980514, false,      all,      工作日,
19980515, false,      all,      工作日,
19980516, false,      all,      工作日,
19980517, true,       all,      週日,
19980518, false,      all,      工作日,
19980519, false,      all,      工作日,
19980520, false,      all,      工作日,
19980521, false,      all,      工作日,
19980522, false,      all,      工作日,
19980523, true,       all,      週六,
19980524, true,       all,      週日,
19980525, false,      all,      工作日,
19980526, false,      all,      工作日, 
19980527, false,      all,      工作日,
19980528, false,      all,      工作日,
19980529, false,      all,      工作日,
19980530, true,       all,      端午節,
19980531, true,       all,      週日,
19980601, false,      all,      工作日,
19980602, false,      all,      工作日,
19980603, false,      all,      工作日,
19980604, false,      all,      工作日,
19980605, false,      all,      工作日,
19980606, false,      all,      工作日, 
19980607, true,       all,      週日,
19980608, false,      all,      工作日,
19980609, false,      all,      工作日, 
19980610, false,      all,      工作日,
19980611, false,      all,      工作日,
19980612, false,      all,      工作日,
19980613, true,       all,      週六,
19980614, true,       all,      週日,
19980615, false,      all,      工作日,
19980616, false,      all,      工作日,
19980617, false,      all,      工作日,
19980618, false,      all,      工作日,
19980619, false,      all,      工作日,
19980620, false,      all,      工作日, 
19980621, true,       all,      週日,
19980622, false,      all,      工作日,
19980623, false,      all,      工作日,
19980624, false,      all,      工作日, 
19980625, false,      all,      工作日,
19980626, false,      all,      工作日,
19980627, true,       all,      週六,
19980628, true,       all,      週日,
19980629, false,      all,      工作日,
19980630, false,      all,      工作日,
19980701, false,      all,      工作日,
19980702, false,      all,      工作日,
19980703, false,      all,      工作日,
19980704, false,      all,      工作日,
19980705, true,       all,      週日,
19980706, false,      all,      工作日,
19980707, false,      all,      工作日,
19980708, false,      all,      工作日,
19980709, false,      all,      工作日,
19980710, false,      all,      工作日,
19980711, true,       all,      週六,
19980712, true,       all,      週日,
19980713, false,      all,      工作日,
19980714, false,      all,      工作日,
19980715, false,      all,      工作日,
19980716, false,      all,      工作日,
19980717, false,      all,      工作日,
19980718, false,      all,      工作日,
19980719, true,       all,      週日,
19980720, false,      all,      工作日,
19980721, false,      all,      工作日,
19980722, false,      all,      工作日,
19980723, false,      all,      工作日,
19980724, false,      all,      工作日,
19980725, true,       all,      週六,
19980726, true,       all,      週日,
19980727, false,      all,      工作日,
19980728, false,      all,      工作日, 
19980729, false,      all,      工作日,
19980730, false,      all,      工作日,
19980731, false,      all,      工作日,
19980801, false,      all,      工作日,
19980802, true,       all,      週日,
19980803, false,      all,      工作日,
19980804, false,      all,      工作日,
19980805, false,      all,      工作日,
19980806, false,      all,      工作日,
19980807, false,      all,      工作日,
19980808, true,       all,      週六,
19980809, true,       all,      週日,
19980810, false,      all,      工作日,
19980811, false,      all,      工作日,
19980812, false,      all,      工作日,
19980813, false,      all,      工作日,
19980814, false,      all,      工作日,
19980815, false,      all,      工作日,
19980816, true,       all,      週日,
19980817, false,      all,      工作日,
19980818, false,      all,      工作日,
19980819, false,      all,      工作日,
19980820, false,      all,      工作日,
19980821, false,      all,      工作日,
19980822, true,       all,      週六,
19980823, true,       all,      週日,
19980824, false,      all,      工作日,
19980825, false,      all,      工作日, 
19980826, false,      all,      工作日,
19980827, false,      all,      工作日,
19980828, false,      all,      工作日,
19980829, false,      all,      工作日,
19980830, true,       all,      週日,
19980831, false,      all,      工作日,
19980901, false,      all,      工作日,
19980902, false,      all,      工作日,
19980903, true,       soldier,  軍人節,
19980904, false,      all,      工作日,
19980905, false,      all,      工作日,
19980906, true,       all,      週日,
19980907, false,      all,      工作日,
19980908, false,      all,      工作日,
19980909, false,      all,      工作日,
19980910, false,      all,      工作日,
19980911, false,      all,      工作日,
19980912, true,       all,      週六,
19980913, true,       all,      週日,
19980914, false,      all,      工作日,
19980915, false,      all,      工作日, 
19980916, false,      all,      工作日,
19980917, false,      all,      工作日,
19980918, false,      all,      工作日,
19980919, false,      all,      工作日,
19980920, true,       all,      週日,
19980921, false,      all,      工作日,
19980922, false,      all,      工作日,
19980923, false,      all,      工作日,
19980924, false,      all,      工作日,
19980925, false,      all,      工作日,
19980926, true,       all,      週六,
19980927, true,       all,      週日,
19980928, false,      all,      教師節,
19980929, false,      all,      工作日,
19980930, false,      all,      工作日,
19981001, false,      all,      工作日,
19981002, false,      all,      工作日,
19981003, false,      all,      工作日,
19981004, true,       all,      週日,
19981005, true,       all,      中秋節,
19981006, false,      all,      工作日,
19981007, false,      all,      工作日,
19981008, false,      all,      工作日,
19981009, true,       all,      國慶日補假,
19981010, true,       all,      週六(國慶日),
19981011, true,       all,      週日,
19981012, false,      all,      工作日,
19981013, false,      all,      工作日,
19981014, false,      all,      工作日,
19981015, false,      all,      工作日,
19981016, false,      all,      工作日,
19981017, false,      all,      工作日,
19981018, true,       all,      週日,
19981019, false,      all,      工作日,
19981020, false,      all,      工作日,
19981021, false,      all,      工作日,
19981022, false,      all,      工作日,
19981023, false,      all,      工作日,
19981024, true,       all,      週六,
19981025, true,       all,      週日(臺灣光復節),
19981026, false,      all,      工作日,
19981027, false,      all,      工作日,
19981028, false,      all,      工作日,
19981029, false,      all,      工作日,
19981030, false,      all,      工作日,
19981031, false,      all,      工作日,
19981101, true,       all,      週日,
19981102, false,      all,      工作日,
19981103, false,      all,      工作日,
19981104, false,      all,      工作日,
19981105, false,      all,      工作日,
19981106, false,      all,      工作日,
19981107, false,      all,      工作日,
19981108, true,       all,      週日,
19981109, false,      all,      工作日,
19981110, false,      all,      工作日,
19981111, false,      all,      工作日,
19981112, true,       all,      國父誕辰紀念日,
19981113, false,      all,      工作日,
19981114, true,       all,      週六,
19981115, true,       all,      週日,
19981116, false,      all,      工作日,
19981117, false,      all,      工作日,
19981118, false,      all,      工作日,
19981119, false,      all,      工作日,
19981120, false,      all,      工作日,
19981121, false,      all,      工作日,
19981122, true,       all,      週日,
19981123, false,      all,      工作日,
19981124, false,      all,      工作日,
19981125, false,      all,      工作日,
19981126, false,      all,      工作日,
19981127, false,      all,      工作日,
