date,     is_holiday, role,     description,
20030101, true , all      , 元旦,
20030102, false, all      , 工作日,
20030103, false, all      , 工作日,
20030104, true , all      , 週六,
20030105, true , all      , 週日,
20030106, false, all      , 工作日,
20030107, false, all      , 工作日,
20030108, false, all      , 工作日,
20030109, false, all      , 工作日,
20030110, false, all      , 工作日,
20030111, true , all      , 週六,
20030112, true , all      , 週日,
20030113, false, all      , 工作日,
20030114, false, all      , 工作日,
20030115, false, all      , 工作日,
20030116, false, all      , 工作日,
20030117, false, all      , 工作日,
20030118, true , all      , 週六,
20030119, true , all      , 週日,
20030120, false, all      , 工作日,
20030121, false, all      , 工作日,
20030122, false, all      , 工作日,
20030123, false, all      , 工作日,
20030124, false, all      , 工作日,
20030125, true , all      , 週六,
20030126, true , all      , 週日,
20030127, false, all      , 工作日,
20030128, false, all      , 工作日,
20030129, false, all      , 工作日,
20030130, false, all      , 工作日,
20030131, true , all      , 除夕,
20030201, true , all      , 春節,
20030202, true , all      , 春節,
20030203, true , all      , 春節,
20030204, true , all      , 春節補假,
20030205, true , all      , 春節補假,
20030206, false, all      , 工作日,
20030207, false, all      , 工作日,
20030208, true , all      , 週六,
20030209, true , all      , 週日,
20030210, false, all      , 工作日,
20030211, false, all      , 工作日,
20030212, false, all      , 工作日,
20030213, false, all      , 工作日,
20030214, false, all      , 工作日,
20030215, true , all      , 週六,
20030216, true , all      , 週日,
20030217, false, all      , 工作日,
20030218, false, all      , 工作日,
20030219, false, all      , 工作日,
20030220, false, all      , 工作日,
20030221, false, all      , 工作日,
20030222, true , all      , 週六,
20030223, true , all      , 週日,
20030224, false, all      , 工作日,
20030225, false, all      , 工作日,
20030226, false, all      , 工作日,
20030227, false, all      , 工作日,
20030228, true , all      , 和平紀念日,
20030301, true , all      , 週六,
20030302, true , all      , 週日,
20030303, false, all      , 工作日,
20030304, false, all      , 工作日,
20030305, false, all      , 工作日,
20030306, false, all      , 工作日,
20030307, false, all      , 工作日,
20030308, true , all      , 婦女節,
20030309, true , all      , 週日,
