date,     is_holiday, role,     description,
20180101, true , all     , 開國紀念日,
20180102, false, none    , 工作日,
20180103, false, none    , 工作日,
20180104, false, none    , 工作日,
20180105, false, none    , 工作日,
20180106, true , all     , 週六,
20180107, true , all     , 週日,
20180108, false, none    , 工作日,
20180109, false, none    , 工作日,
20180110, false, none    , 工作日,
20180111, false, none    , 工作日,
20180112, false, none    , 工作日,
20180113, true , all     , 週六,
20180114, true , all     , 週日,
20180115, false, none    , 工作日,
20180116, false, none    , 工作日,
20180117, false, none    , 工作日,
20180118, false, none    , 工作日,
20180119, false, none    , 工作日,
20180120, true , all     , 週六,
20180121, true , all     , 週日,
20180122, false, none    , 工作日,
20180123, false, none    , 工作日,
20180124, false, none    , 工作日,
20180125, false, none    , 工作日,
20180126, false, none    , 工作日,
20180127, true , all     , 週六,
20180128, true , all     , 週日,
20180129, false, none    , 工作日,
20180130, false, none    , 工作日,
20180131, false, none    , 工作日,
20180201, false, none    , 工作日,
20180202, false, none    , 工作日,
20180203, true , all     , 週六,
20180204, true , all     , 週日,
20180205, false, none    , 工作日,
20180206, false, none    , 工作日,
20180207, false, none    , 工作日,
20180208, false, none    , 工作日,
20180209, false, none    , 工作日,
20180210, true , all     , 週六,
20180211, true , all     , 週日,
20180212, false, none    , 工作日,
20180213, false, none    , 工作日,
20180214, false, none    , 工作日,
20180215, true , all     , 農曆除夕,
20180216, true , all     , 春節,
20180217, true , all     , 春節,
20180218, true , all     , 春節,
20180219, true , all     , 補假,
20180220, true , all     , 補假,
20180221, false, none    , 工作日,
20180222, false, none    , 工作日,
20180223, false, none    , 工作日,
20180224, true , all     , 週六,
20180225, true , all     , 週日,
20180226, false, none    , 工作日,
20180227, false, none    , 工作日,
20180228, true , all     , 和平紀念日,
20180301, false, none    , 工作日,
20180302, false, none    , 工作日,
20180303, true , all     , 週六,
20180304, true , all     , 週日,
20180305, false, none    , 工作日,
20180306, false, none    , 工作日,
20180307, false, none    , 工作日,
20180308, false, none    , 工作日,
20180309, false, none    , 工作日,
20180310, true , all     , 週六,
20180311, true , all     , 週日,
20180312, false, none    , 工作日,
20180313, false, none    , 工作日,
20180314, false, none    , 工作日,
20180315, false, none    , 工作日,
20180316, false, none    , 工作日,
20180317, true , all     , 週六,
20180318, true , all     , 週日,
20180319, false, none    , 工作日,
20180320, false, none    , 工作日,
20180321, false, none    , 工作日,
20180322, false, none    , 工作日,
20180323, false, none    , 工作日,
20180324, true , all     , 週六,
20180325, true , all     , 週日,
20180326, false, none    , 工作日,
20180327, false, none    , 工作日,
20180328, false, none    , 工作日,
20180329, false, none    , 工作日,
20180330, false, none    , 工作日,
20180331, false, none    , 調整上班,
20180401, true , all     , 週日,
20180402, false, none    , 工作日,
20180403, false, none    , 工作日,
20180404, true , all     , 兒童節,
20180405, true , all     , 民族掃墓節,
20180406, true , all     , 調整放假,
20180407, true , all     , 週六,
20180408, true , all     , 週日,
20180409, false, none    , 工作日,
20180410, false, none    , 工作日,
20180411, false, none    , 工作日,
20180412, false, none    , 工作日,
20180413, false, none    , 工作日,
20180414, true , all     , 週六,
20180415, true , all     , 週日,
20180416, false, none    , 工作日,
20180417, false, none    , 工作日,
20180418, false, none    , 工作日,
20180419, false, none    , 工作日,
20180420, false, none    , 工作日,
20180421, true , all     , 週六,
20180422, true , all     , 週日,
20180423, false, none    , 工作日,
20180424, false, none    , 工作日,
20180425, false, none    , 工作日,
20180426, false, none    , 工作日,
20180427, false, none    , 工作日,
20180428, true , all     , 週六,
20180429, true , all     , 週日,
20180430, false, none    , 工作日,
20180501, true , labor   , 勞動節,
20180502, false, none    , 工作日,
20180503, false, none    , 工作日,
20180504, false, none    , 工作日,
20180505, true , all     , 週六,
20180506, true , all     , 週日,
20180507, false, none    , 工作日,
20180508, false, none    , 工作日,
20180509, false, none    , 工作日,
20180510, false, none    , 工作日,
20180511, false, none    , 工作日,
20180512, true , all     , 週六,
20180513, true , all     , 週日,
20180514, false, none    , 工作日,
20180515, false, none    , 工作日,
20180516, false, none    , 工作日,
20180517, false, none    , 工作日,
20180518, false, none    , 工作日,
20180519, true , all     , 週六,
20180520, true , all     , 週日,
20180521, false, none    , 工作日,
20180522, false, none    , 工作日,
20180523, false, none    , 工作日,
20180524, false, none    , 工作日,
20180525, false, none    , 工作日,
20180526, true , all     , 週六,
20180527, true , all     , 週日,
20180528, false, none    , 工作日,
20180529, false, none    , 工作日,
20180530, false, none    , 工作日,
20180531, false, none    , 工作日,
20180601, false, none    , 工作日,
20180602, true , all     , 週六,
20180603, true , all     , 週日,
20180604, false, none    , 工作日,
20180605, false, none    , 工作日,
20180606, false, none    , 工作日,
20180607, false, none    , 工作日,
20180608, false, none    , 工作日,
20180609, true , all     , 週六,
20180610, true , all     , 週日,
20180611, false, none    , 工作日,
20180612, false, none    , 工作日,
20180613, false, none    , 工作日,
20180614, false, none    , 工作日,
20180615, false, none    , 工作日,
20180616, true , all     , 週六,
20180617, true , all     , 週日,
20180618, true , all     , 端午節,
20180619, false, none    , 工作日,
20180620, false, none    , 工作日,
20180621, false, none    , 工作日,
20180622, false, none    , 工作日,
20180623, true , all     , 週六,
20180624, true , all     , 週日,
20180625, false, none    , 工作日,
20180626, false, none    , 工作日,
20180627, false, none    , 工作日,
20180628, false, none    , 工作日,
20180629, false, none    , 工作日,
20180630, true , all     , 週六,
20180701, true , all     , 週日,
20180702, false, none    , 工作日,
20180703, false, none    , 工作日,
20180704, false, none    , 工作日,
20180705, false, none    , 工作日,
20180706, false, none    , 工作日,
20180707, true , all     , 週六,
20180708, true , all     , 週日,
20180709, false, none    , 工作日,
20180710, false, none    , 工作日,
20180711, false, none    , 工作日,
20180712, false, none    , 工作日,
20180713, false, none    , 工作日,
20180714, true , all     , 週六,
20180715, true , all     , 週日,
20180716, false, none    , 工作日,
20180717, false, none    , 工作日,
20180718, false, none    , 工作日,
20180719, false, none    , 工作日,
20180720, false, none    , 工作日,
20180721, true , all     , 週六,
20180722, true , all     , 週日,
20180723, false, none    , 工作日,
20180724, false, none    , 工作日,
20180725, false, none    , 工作日,
20180726, false, none    , 工作日,
20180727, false, none    , 工作日,
20180728, true , all     , 週六,
20180729, true , all     , 週日,
